Record Length,Analog:100000
Sample Interval,2.000000E-04
Vertical Units,V,
Vertical Scale,+2.000000E-02
Vertical Offset,+0.000000E+00
Horizontal Units,s
Horizontal Scale,+2.000000E+00
Model,SDS814X HD
Serial Number,SDS08A0Q809397
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.4000000000E-01,+1.125000E-03
-2.3980000000E-01,+1.416667E-03
-2.3960000000E-01,+9.999999E-04
-2.3940000000E-01,+1.291667E-03
-2.3920000000E-01,+1.375000E-03
-2.3900000000E-01,+1.375000E-03
-2.3880000000E-01,+1.291667E-03
-2.3860000000E-01,+1.375000E-03
-2.3840000000E-01,+1.500000E-03
-2.3820000000E-01,+1.041667E-03
-2.3800000000E-01,+1.541667E-03
-2.3780000000E-01,+1.208333E-03
-2.3760000000E-01,+1.458333E-03
-2.3740000000E-01,+1.416667E-03
-2.3720000000E-01,+1.375000E-03
-2.3700000000E-01,+1.166667E-03
-2.3680000000E-01,+1.375000E-03
-2.3660000000E-01,+1.166667E-03
-2.3640000000E-01,+1.375000E-03
-2.3620000000E-01,+1.500000E-03
-2.3600000000E-01,+1.166667E-03
-2.3580000000E-01,+1.208333E-03
-2.3560000000E-01,+1.458333E-03
-2.3540000000E-01,+1.416667E-03
-2.3520000000E-01,+1.375000E-03
-2.3500000000E-01,+1.041667E-03
-2.3480000000E-01,+1.666667E-03
-2.3460000000E-01,+1.333333E-03
-2.3440000000E-01,+1.541667E-03
-2.3420000000E-01,+1.500000E-03
-2.3400000000E-01,+1.416667E-03
-2.3380000000E-01,+1.333333E-03
-2.3360000000E-01,+1.416667E-03
-2.3340000000E-01,+1.500000E-03
-2.3320000000E-01,+1.375000E-03
-2.3300000000E-01,+1.333333E-03
-2.3280000000E-01,+1.416667E-03
-2.3260000000E-01,+1.500000E-03
-2.3240000000E-01,+2.041667E-03
-2.3220000000E-01,+1.250000E-03
-2.3200000000E-01,+1.625000E-03
-2.3180000000E-01,+1.500000E-03
-2.3160000000E-01,+9.999999E-04
-2.3140000000E-01,+1.333333E-03
-2.3120000000E-01,+1.625000E-03
-2.3100000000E-01,+1.916667E-03
-2.3080000000E-01,+1.083333E-03
-2.3060000000E-01,+1.750000E-03
-2.3040000000E-01,+1.291667E-03
-2.3020000000E-01,+1.375000E-03
-2.3000000000E-01,+2.041667E-03
-2.2980000000E-01,+1.875000E-03
-2.2960000000E-01,+1.333333E-03
-2.2940000000E-01,+1.208333E-03
-2.2920000000E-01,+1.250000E-03
-2.2900000000E-01,+1.541667E-03
-2.2880000000E-01,+1.708333E-03
-2.2860000000E-01,+1.250000E-03
-2.2840000000E-01,+1.208333E-03
-2.2820000000E-01,+1.166667E-03
-2.2800000000E-01,+1.375000E-03
-2.2780000000E-01,+1.791667E-03
-2.2760000000E-01,+1.250000E-03
-2.2740000000E-01,+1.750000E-03
-2.2720000000E-01,+1.291667E-03
-2.2700000000E-01,+1.458333E-03
-2.2680000000E-01,+1.250000E-03
-2.2660000000E-01,+1.541667E-03
-2.2640000000E-01,+1.750000E-03
-2.2620000000E-01,+1.250000E-03
-2.2600000000E-01,+1.500000E-03
-2.2580000000E-01,+1.500000E-03
-2.2560000000E-01,+1.458333E-03
-2.2540000000E-01,+1.500000E-03
-2.2520000000E-01,+1.583333E-03
-2.2500000000E-01,+1.291667E-03
-2.2480000000E-01,+1.666667E-03
-2.2460000000E-01,+1.125000E-03
-2.2440000000E-01,+1.541667E-03
-2.2420000000E-01,+1.500000E-03
-2.2400000000E-01,+1.291667E-03
-2.2380000000E-01,+1.250000E-03
-2.2360000000E-01,+1.500000E-03
-2.2340000000E-01,+1.541667E-03
-2.2320000000E-01,+1.416667E-03
-2.2300000000E-01,+1.375000E-03
-2.2280000000E-01,+1.375000E-03
-2.2260000000E-01,+1.458333E-03
-2.2240000000E-01,+1.208333E-03
-2.2220000000E-01,+1.541667E-03
-2.2200000000E-01,+1.958333E-03
-2.2180000000E-01,+1.416667E-03
-2.2160000000E-01,+1.250000E-03
-2.2140000000E-01,+1.666667E-03
-2.2120000000E-01,+1.750000E-03
-2.2100000000E-01,+1.875000E-03
-2.2080000000E-01,+1.375000E-03
-2.2060000000E-01,+1.458333E-03
-2.2040000000E-01,+1.416667E-03
-2.2020000000E-01,+1.500000E-03
-2.2000000000E-01,+1.625000E-03
-2.1980000000E-01,+1.541667E-03
-2.1960000000E-01,+1.625000E-03
-2.1940000000E-01,+1.458333E-03
-2.1920000000E-01,+1.208333E-03
-2.1900000000E-01,+1.583333E-03
-2.1880000000E-01,+1.583333E-03
-2.1860000000E-01,+1.541667E-03
-2.1840000000E-01,+2.041667E-03
-2.1820000000E-01,+1.250000E-03
-2.1800000000E-01,+1.500000E-03
-2.1780000000E-01,+1.500000E-03
-2.1760000000E-01,+1.375000E-03
-2.1740000000E-01,+1.375000E-03
-2.1720000000E-01,+1.708333E-03
-2.1700000000E-01,+1.416667E-03
-2.1680000000E-01,+1.250000E-03
-2.1660000000E-01,+1.666667E-03
-2.1640000000E-01,+1.500000E-03
-2.1620000000E-01,+1.541667E-03
-2.1600000000E-01,+8.333334E-04
-2.1580000000E-01,+1.541667E-03
-2.1560000000E-01,+1.541667E-03
-2.1540000000E-01,+1.958333E-03
-2.1520000000E-01,+1.375000E-03
-2.1500000000E-01,+1.375000E-03
-2.1480000000E-01,+1.333333E-03
-2.1460000000E-01,+1.625000E-03
-2.1440000000E-01,+1.666667E-03
-2.1420000000E-01,+1.750000E-03
-2.1400000000E-01,+1.208333E-03
-2.1380000000E-01,+1.500000E-03
-2.1360000000E-01,+1.375000E-03
-2.1340000000E-01,+1.500000E-03
-2.1320000000E-01,+1.666667E-03
-2.1300000000E-01,+1.625000E-03
-2.1280000000E-01,+1.541667E-03
-2.1260000000E-01,+1.916667E-03
-2.1240000000E-01,+1.166667E-03
-2.1220000000E-01,+1.750000E-03
-2.1200000000E-01,+1.041667E-03
-2.1180000000E-01,+1.583333E-03
-2.1160000000E-01,+1.250000E-03
-2.1140000000E-01,+1.666667E-03
-2.1120000000E-01,+1.541667E-03
-2.1100000000E-01,+1.666667E-03
-2.1080000000E-01,+1.625000E-03
-2.1060000000E-01,+1.250000E-03
-2.1040000000E-01,+1.291667E-03
-2.1020000000E-01,+1.416667E-03
-2.1000000000E-01,+1.666667E-03
-2.0980000000E-01,+1.416667E-03
-2.0960000000E-01,+1.666667E-03
-2.0940000000E-01,+1.125000E-03
-2.0920000000E-01,+1.125000E-03
-2.0900000000E-01,+1.833333E-03
-2.0880000000E-01,+1.916667E-03
-2.0860000000E-01,+1.416667E-03
-2.0840000000E-01,+1.375000E-03
-2.0820000000E-01,+1.666667E-03
-2.0800000000E-01,+1.500000E-03
-2.0780000000E-01,+1.500000E-03
-2.0760000000E-01,+1.666667E-03
-2.0740000000E-01,+1.916667E-03
-2.0720000000E-01,+1.500000E-03
-2.0700000000E-01,+1.333333E-03
-2.0680000000E-01,+1.708333E-03
-2.0660000000E-01,+1.583333E-03
-2.0640000000E-01,+1.833333E-03
-2.0620000000E-01,+1.416667E-03
-2.0600000000E-01,+1.125000E-03
-2.0580000000E-01,+1.583333E-03
-2.0560000000E-01,+1.583333E-03
-2.0540000000E-01,+1.583333E-03
-2.0520000000E-01,+1.750000E-03
-2.0500000000E-01,+1.458333E-03
-2.0480000000E-01,+1.583333E-03
-2.0460000000E-01,+1.291667E-03
-2.0440000000E-01,+1.833333E-03
-2.0420000000E-01,+1.708333E-03
-2.0400000000E-01,+1.666667E-03
-2.0380000000E-01,+1.291667E-03
-2.0360000000E-01,+1.208333E-03
-2.0340000000E-01,+1.375000E-03
-2.0320000000E-01,+1.708333E-03
-2.0300000000E-01,+1.500000E-03
-2.0280000000E-01,+1.666667E-03
-2.0260000000E-01,+1.583333E-03
-2.0240000000E-01,+1.625000E-03
-2.0220000000E-01,+2.041667E-03
-2.0200000000E-01,+1.208333E-03
-2.0180000000E-01,+1.541667E-03
-2.0160000000E-01,+1.750000E-03
-2.0140000000E-01,+1.541667E-03
-2.0120000000E-01,+1.500000E-03
-2.0100000000E-01,+1.833333E-03
-2.0080000000E-01,+2.083333E-03
-2.0060000000E-01,+1.750000E-03
-2.0040000000E-01,+2.000000E-03
-2.0020000000E-01,+1.666667E-03
-2.0000000000E-01,+1.708333E-03
