Record Length,Analog:100000
Sample Interval,2.000000E-07
Vertical Units,V,
Vertical Scale,+2.000000E-03
Vertical Offset,+0.000000E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-03
Model,SDS814X HD
Serial Number,SDS08A0Q809397
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-1.0000000000E-02,-3.916667E-03
-9.9998000000E-03,-4.358334E-03
-9.9996000000E-03,-4.025000E-03
-9.9994000000E-03,-4.041667E-03
-9.9992000000E-03,-3.983333E-03
-9.9990000000E-03,-3.766667E-03
-9.9988000000E-03,-4.329167E-03
-9.9986000000E-03,-4.050000E-03
-9.9984000000E-03,-4.091667E-03
-9.9982000000E-03,-4.375000E-03
-9.9980000000E-03,-3.825000E-03
-9.9978000000E-03,-4.104167E-03
-9.9976000000E-03,-4.237500E-03
-9.9974000000E-03,-4.329167E-03
-9.9972000000E-03,-4.312500E-03
-9.9970000000E-03,-4.120833E-03
-9.9968000000E-03,-4.154167E-03
-9.9966000000E-03,-4.345833E-03
-9.9964000000E-03,-4.020833E-03
-9.9962000000E-03,-4.120833E-03
-9.9960000000E-03,-4.095833E-03
-9.9958000000E-03,-3.933333E-03
-9.9956000000E-03,-3.625000E-03
-9.9954000000E-03,-4.045833E-03
-9.9952000000E-03,-4.175000E-03
-9.9950000000E-03,-4.154167E-03
-9.9948000000E-03,-4.850000E-03
-9.9946000000E-03,-4.329167E-03
-9.9944000000E-03,-4.450000E-03
-9.9942000000E-03,-4.420833E-03
-9.9940000000E-03,-4.316667E-03
-9.9938000000E-03,-4.125000E-03
-9.9936000000E-03,-4.087500E-03
-9.9934000000E-03,-3.725000E-03
-9.9932000000E-03,-4.000000E-03
-9.9930000000E-03,-3.537500E-03
-9.9928000000E-03,-4.350000E-03
-9.9926000000E-03,-4.204167E-03
-9.9924000000E-03,-4.225000E-03
-9.9922000000E-03,-4.320833E-03
-9.9920000000E-03,-4.341667E-03
-9.9918000000E-03,-4.812500E-03
-9.9916000000E-03,-4.212500E-03
-9.9914000000E-03,-4.708333E-03
-9.9912000000E-03,-4.483333E-03
-9.9910000000E-03,-3.945834E-03
-9.9908000000E-03,-4.225000E-03
-9.9906000000E-03,-3.900000E-03
-9.9904000000E-03,-3.983333E-03
-9.9902000000E-03,-4.045833E-03
-9.9900000000E-03,-3.783333E-03
-9.9898000000E-03,-4.145833E-03
-9.9896000000E-03,-4.350000E-03
-9.9894000000E-03,-4.320833E-03
-9.9892000000E-03,-4.612500E-03
-9.9890000000E-03,-4.275000E-03
-9.9888000000E-03,-5.041667E-03
-9.9886000000E-03,-4.370833E-03
-9.9884000000E-03,-4.616667E-03
-9.9882000000E-03,-4.508333E-03
-9.9880000000E-03,-4.191667E-03
-9.9878000000E-03,-4.379167E-03
-9.9876000000E-03,-3.908333E-03
-9.9874000000E-03,-4.016667E-03
-9.9872000000E-03,-4.058334E-03
-9.9870000000E-03,-4.000000E-03
-9.9868000000E-03,-4.391667E-03
-9.9866000000E-03,-4.366667E-03
-9.9864000000E-03,-4.437500E-03
-9.9862000000E-03,-4.995834E-03
-9.9860000000E-03,-4.054167E-03
-9.9858000000E-03,-4.300000E-03
-9.9856000000E-03,-4.425000E-03
-9.9854000000E-03,-4.483333E-03
-9.9852000000E-03,-4.604167E-03
-9.9850000000E-03,-4.345833E-03
-9.9848000000E-03,-4.187500E-03
-9.9846000000E-03,-3.804167E-03
-9.9844000000E-03,-4.445833E-03
-9.9842000000E-03,-4.150000E-03
-9.9840000000E-03,-4.391667E-03
-9.9838000000E-03,-4.379167E-03
-9.9836000000E-03,-4.245833E-03
-9.9834000000E-03,-4.450000E-03
-9.9832000000E-03,-4.479167E-03
-9.9830000000E-03,-4.575000E-03
-9.9828000000E-03,-4.766667E-03
-9.9826000000E-03,-4.658333E-03
-9.9824000000E-03,-4.287500E-03
-9.9822000000E-03,-4.358334E-03
-9.9820000000E-03,-4.016667E-03
-9.9818000000E-03,-4.516667E-03
-9.9816000000E-03,-4.079167E-03
-9.9814000000E-03,-4.200000E-03
-9.9812000000E-03,-4.433333E-03
-9.9810000000E-03,-4.154167E-03
-9.9808000000E-03,-4.450000E-03
-9.9806000000E-03,-4.379167E-03
-9.9804000000E-03,-4.712500E-03
-9.9802000000E-03,-4.537500E-03
-9.9800000000E-03,-4.408333E-03
-9.9798000000E-03,-4.800000E-03
-9.9796000000E-03,-4.679167E-03
-9.9794000000E-03,-4.425000E-03
-9.9792000000E-03,-3.912500E-03
-9.9790000000E-03,-3.670833E-03
-9.9788000000E-03,-4.254167E-03
-9.9786000000E-03,-4.216667E-03
-9.9784000000E-03,-4.208333E-03
-9.9782000000E-03,-4.420833E-03
-9.9780000000E-03,-4.150000E-03
-9.9778000000E-03,-4.783333E-03
-9.9776000000E-03,-4.525000E-03
-9.9774000000E-03,-4.804166E-03
-9.9772000000E-03,-4.287500E-03
-9.9770000000E-03,-4.608334E-03
-9.9768000000E-03,-4.845833E-03
-9.9766000000E-03,-4.550000E-03
-9.9764000000E-03,-4.545833E-03
