FFT Length,65536
Record Length,32768
FFT Sample Rate,+5.000000E+06,
Delta Frequency,+7.629395E+01,
Start Frequency,+0.000000E+00,
Stop Frequency,+2.500000E+06,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0Q809397
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-2.175429E-05,+0.000000E+00,-9.324910E+01,+3.141593E+00
+7.629395E+01,+4.989402E-05,+3.115641E-05,-8.460907E+01,+5.582049E-01
+1.525879E+02,+1.076791E-03,+1.620874E-03,-5.421738E+01,+9.844150E-01
+2.288818E+02,-2.402530E-03,-3.597778E-03,-4.727783E+01,-2.159570E+00
+3.051758E+02,+1.341352E-03,+1.989630E-03,-5.239739E+01,+9.776161E-01
+3.814697E+02,-2.188678E-05,-2.166991E-05,-9.022910E+01,-2.361174E+00
+4.577637E+02,-3.925566E-05,-8.785370E-05,-8.033423E+01,-1.991011E+00
+5.340576E+02,+1.784053E-05,+5.000224E-05,-8.549980E+01,+1.228081E+00
+6.103516E+02,-1.008565E-05,-6.505562E-07,-9.990788E+01,-3.077179E+00
+6.866455E+02,+7.472943E-06,-1.876318E-05,-9.389444E+01,-1.191776E+00
+7.629395E+02,-3.842643E-06,+8.963316E-06,-1.002179E+02,+1.975803E+00
+8.392334E+02,-1.327902E-06,-3.934357E-06,-1.076340E+02,-1.896305E+00
+9.155273E+02,+1.288294E-05,+2.438986E-05,-9.118710E+01,+1.084837E+00
+9.918213E+02,-1.580480E-05,-3.318375E-05,-8.869360E+01,-2.015290E+00
+1.068115E+03,+5.222255E-08,+9.201817E-06,-1.007224E+02,+1.565121E+00
+1.144409E+03,+1.203242E-05,-2.611449E-06,-9.819304E+01,-2.137198E-01
+1.220703E+03,-1.413996E-05,+5.254692E-06,-9.642922E+01,+2.785789E+00
+1.296997E+03,+5.686888E-06,-5.462534E-07,-1.048626E+02,-9.576109E-02
+1.373291E+03,-1.007654E-06,-2.698814E-06,-1.108098E+02,-1.928136E+00
+1.449585E+03,+2.675574E-06,+1.429600E-06,-1.103610E+02,+4.907215E-01
+1.525879E+03,-1.728080E-06,+1.250686E-06,-1.134194E+02,+2.515109E+00
+1.602173E+03,+4.171969E-07,-6.120100E-07,-1.226074E+02,-9.724697E-01
+1.678467E+03,-1.138162E-06,-1.468538E-07,-1.188042E+02,-3.013274E+00
+1.754761E+03,+9.300182E-07,-8.682175E-07,-1.179082E+02,-7.510443E-01
