Record Length,Analog:100000
Sample Interval,5.000000E-05
Vertical Units,V,
Vertical Scale,+1.000000E-02
Vertical Offset,-1.000000E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808383
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.5000000000E+00,-1.479167E-03
-2.4999500000E+00,+1.458333E-03
-2.4999000000E+00,-1.416667E-03
-2.4998500000E+00,-1.937500E-03
-2.4998000000E+00,+1.437500E-03
-2.4997500000E+00,+1.270833E-03
-2.4997000000E+00,-1.312500E-03
-2.4996500000E+00,+1.500000E-03
-2.4996000000E+00,-1.479167E-03
-2.4995500000E+00,-1.416667E-03
-2.4995000000E+00,+1.125000E-03
-2.4994500000E+00,+1.229167E-03
-2.4994000000E+00,-1.583333E-03
-2.4993500000E+00,-1.270833E-03
-2.4993000000E+00,+1.125000E-03
-2.4992500000E+00,-1.395833E-03
-2.4992000000E+00,+1.062500E-03
-2.4991500000E+00,-1.479167E-03
-2.4991000000E+00,+1.208333E-03
-2.4990500000E+00,-1.583333E-03
-2.4990000000E+00,+1.020833E-03
-2.4989500000E+00,+9.583334E-04
-2.4989000000E+00,-1.520833E-03
-2.4988500000E+00,-1.145833E-03
-2.4988000000E+00,+1.166667E-03
-2.4987500000E+00,-1.520833E-03
-2.4987000000E+00,+9.583334E-04
-2.4986500000E+00,+1.000000E-03
-2.4986000000E+00,-1.187500E-03
-2.4985500000E+00,+8.750000E-04
-2.4985000000E+00,-1.145833E-03
-2.4984500000E+00,+8.541667E-04
-2.4984000000E+00,-1.041667E-03
-2.4983500000E+00,-1.020833E-03
-2.4983000000E+00,+1.000000E-03
-2.4982500000E+00,-1.166667E-03
-2.4982000000E+00,+8.333334E-04
-2.4981500000E+00,-1.270833E-03
-2.4981000000E+00,+9.583334E-04
-2.4980500000E+00,-1.083333E-03
-2.4980000000E+00,+9.583334E-04
-2.4979500000E+00,-1.208333E-03
-2.4979000000E+00,+1.062500E-03
-2.4978500000E+00,+9.791667E-04
-2.4978000000E+00,-1.291667E-03
-2.4977500000E+00,-1.645833E-03
-2.4977000000E+00,+1.125000E-03
-2.4976500000E+00,+9.791667E-04
-2.4976000000E+00,-1.500000E-03
-2.4975500000E+00,+1.020833E-03
-2.4975000000E+00,-1.395833E-03
-2.4974500000E+00,+1.166667E-03
-2.4974000000E+00,-1.645833E-03
-2.4973500000E+00,+1.166667E-03
-2.4973000000E+00,-1.520833E-03
-2.4972500000E+00,-1.687500E-03
-2.4972000000E+00,+1.104167E-03
-2.4971500000E+00,-1.708333E-03
-2.4971000000E+00,+1.104167E-03
-2.4970500000E+00,+1.437500E-03
-2.4970000000E+00,-1.729167E-03
-2.4969500000E+00,+1.708333E-03
-2.4969000000E+00,-1.479167E-03
-2.4968500000E+00,+1.250000E-03
-2.4968000000E+00,-1.541667E-03
-2.4967500000E+00,-1.854167E-03
-2.4967000000E+00,+1.354167E-03
-2.4966500000E+00,+1.208333E-03
-2.4966000000E+00,-1.645833E-03
-2.4965500000E+00,-1.791667E-03
-2.4965000000E+00,+1.354167E-03
-2.4964500000E+00,-1.791667E-03
-2.4964000000E+00,+1.270833E-03
-2.4963500000E+00,-2.020833E-03
-2.4963000000E+00,+1.458333E-03
-2.4962500000E+00,-1.666667E-03
-2.4962000000E+00,+1.416667E-03
-2.4961500000E+00,+1.520833E-03
-2.4961000000E+00,-1.708333E-03
-2.4960500000E+00,-1.708333E-03
-2.4960000000E+00,+1.208333E-03
-2.4959500000E+00,-1.979167E-03
-2.4959000000E+00,+1.666667E-03
-2.4958500000E+00,+1.458333E-03
-2.4958000000E+00,-2.125000E-03
-2.4957500000E+00,+1.416667E-03
-2.4957000000E+00,-1.916667E-03
-2.4956500000E+00,+1.395833E-03
-2.4956000000E+00,-1.791667E-03
-2.4955500000E+00,+1.562500E-03
-2.4955000000E+00,-2.479166E-03
-2.4954500000E+00,+1.520833E-03
-2.4954000000E+00,-2.000000E-03
-2.4953500000E+00,-1.666667E-03
-2.4953000000E+00,+1.437500E-03
-2.4952500000E+00,+1.375000E-03
-2.4952000000E+00,-1.687500E-03
-2.4951500000E+00,+1.208333E-03
-2.4951000000E+00,-1.916667E-03
-2.4950500000E+00,+1.312500E-03
-2.4950000000E+00,-1.895833E-03
-2.4949500000E+00,+1.625000E-03
-2.4949000000E+00,-1.916667E-03
-2.4948500000E+00,-1.625000E-03
